Date	Time	Acetic Acid	Acetone	Ammonia	C2H2	C2H4	C3H6	CH4	CO	CO2	Cyclopentene	Ethanol	Formaldehyde	Formic Acid	Furan	Glycolaldehyde	H2O	HCl	HCN	Isobutylene	Methanol	Methyl Formate	Methylpropionate	N2O	Nitrous Acid	NO	NO2	Ozone	SO2
2016/03/04	13:27:45.943	2.2078	4.8257	0.4958	0.0000	0.1992	0.0157	1.7389	0.4676	791.0131	18.3843	0.0000	0.0000	0.1996	0.0000	2.2955	7633.6930	0.0000	1.3533	0.0825	0.4563	0.0353	1.2683	0.4647	1.1517	0.0000	54.5303	0.0000	0.5502
2016/03/04	13:27:55.730	1.0979	3.9285	0.5202	0.0000	0.1809	0.0000	1.7109	0.4455	774.4380	15.6255	0.0000	0.0000	0.1809	0.0000	1.2294	7309.5015	0.0000	1.2760	0.0014	0.2993	0.0351	1.2711	0.4569	1.2957	0.0000	49.5077	0.0000	0.4336
2016/03/04	13:28:06.597	3.5311	5.4216	0.5454	0.0000	0.1616	0.0235	1.6764	0.3502	773.7041	14.3006	0.0000	0.0000	0.2683	0.0000	1.6742	7944.2853	0.0000	1.2205	0.0000	0.2937	0.0570	1.2396	0.4726	1.1608	0.0000	45.8411	0.0005	0.7773
2016/03/04	13:28:15.958	1.5573	84.7206	0.5255	0.0000	0.2375	0.0087	1.7300	0.4960	759.3031	14.5672	0.0000	0.0000	0.1794	0.0000	1.6076	6920.2806	0.0000	1.5846	0.0000	0.3316	0.0076	1.2782	0.5066	1.6711	0.0000	52.4153	0.0000	0.7552
2016/03/04	13:28:26.255	0.6067	2.6225	0.5051	0.0000	0.2062	0.0262	1.7238	0.5077	770.2985	17.6650	0.0000	0.0000	0.1546	0.0000	1.8607	7430.5878	0.0000	1.0727	0.0000	0.3572	0.0823	1.2304	0.4763	1.0837	0.0000	52.3005	0.0000	0.8405
2016/03/04	13:28:35.615	2.8245	29.3124	0.5048	0.0000	0.0966	0.0376	1.7549	0.3395	785.5434	18.4507	0.0000	0.0253	0.2091	0.0007	1.5971	7419.0231	0.0000	0.9570	0.0000	0.3758	0.0518	1.2547	0.4942	1.5225	0.0000	49.3441	0.0000	0.2862
2016/03/04	13:28:44.040	2.6816	75.5295	0.5473	0.0000	0.2484	0.0124	1.7552	0.4493	772.1634	16.4961	0.0000	0.0000	0.1872	0.0000	1.5890	7478.9992	0.0000	1.5204	0.0000	0.3919	0.0202	1.2509	0.4919	1.2787	0.0000	47.3525	0.0000	0.6203
2016/03/04	13:28:53.401	3.9756	45.1507	0.4724	0.0000	0.2046	0.0538	1.6866	0.3160	807.5886	15.9059	0.0000	0.0000	0.2111	0.0000	1.2012	8156.7005	0.0000	1.3676	0.0000	0.5025	0.0974	1.2374	0.5166	1.1714	0.0000	49.8634	0.3047	0.7395
2016/03/04	13:29:03.697	2.8070	4.8201	0.4633	0.0000	0.1760	0.0259	1.7256	0.3286	824.6776	16.9141	0.0005	0.0000	0.1342	0.0000	1.6041	8011.7714	0.0000	1.4490	0.0000	0.4380	0.1484	1.2963	0.4792	1.3213	0.0000	52.1839	0.0000	0.5210
2016/03/04	13:29:13.058	2.8116	2.3842	0.4924	0.0000	0.1234	0.0462	1.7002	0.4199	813.0234	16.1992	0.0000	0.0000	0.1881	0.0000	1.1402	8627.8953	0.0000	1.3407	0.0000	0.4516	0.0343	1.1557	0.5156	1.2330	0.0000	51.9453	0.0000	0.9095
2016/03/04	13:29:23.277	2.8233	81.9751	0.4909	0.0000	0.1542	0.0087	1.7493	0.4434	823.0535	15.5740	0.0000	0.0000	0.2278	0.0000	1.1659	8363.8577	0.0000	1.0417	0.0000	0.3962	0.0724	1.1900	0.4873	1.1449	0.0000	48.6873	0.0000	0.6624
2016/03/04	13:29:32.638	1.0057	7.3613	0.4363	0.0000	0.1627	0.0000	1.7359	0.4690	805.8607	17.8378	0.0000	0.0000	0.1669	0.0000	1.4712	7607.4811	0.0000	1.5688	0.0000	0.4682	0.0378	1.2259	0.4966	1.5015	0.0000	55.8431	0.0000	0.8233
2016/03/04	13:29:42.820	2.9374	84.4024	0.5208	0.0000	0.1822	0.0000	1.7454	0.3764	811.6566	16.9248	0.0000	0.0000	0.2653	0.0000	1.5513	8228.1296	0.0000	1.4955	0.0000	0.4695	0.1001	1.2498	0.5083	1.4014	0.0000	55.4962	0.0000	0.8668
2016/03/04	13:29:52.761	1.5130	80.1135	0.4731	0.0000	0.2116	0.0000	1.7232	0.4991	797.0011	16.3277	0.0000	0.0089	0.3009	0.0000	0.7259	7835.1869	0.0000	1.1584	0.0000	0.3751	0.0011	1.2591	0.4572	1.1020	0.0000	48.9244	0.0000	0.6344
2016/03/04	13:30:02.122	1.6762	86.2519	0.5113	0.0000	0.1813	0.0311	1.6912	0.5173	787.7205	13.9521	0.0015	0.0045	0.0878	0.0000	0.7942	8060.7918	0.0000	1.1600	0.0000	0.3116	0.0651	1.1966	0.5014	1.2323	0.0000	53.0384	0.0887	0.5532
